��ºм�,,,,
[�˻�����],,,,
�ڷᱸ�� : ��,,,,
�ڷ����� : �⺻,,,,
����/���� : ����,,,,
�Ⱓ : 20200302~20230302,,,,

date,point,avg,low,high

"	2020-03-02",108,3.4,0,7.6
"	2020-03-03",108,4.8,0.3,10.5
"	2020-03-04",108,2.2,-1.3,4.6
"	2020-03-05",108,1.4,-2.8,6.3
"	2020-03-06",108,3.7,-2.5,10.1
"	2020-03-07",108,7,1.3,14.2
"	2020-03-08",108,9.3,2.3,16.9
"	2020-03-09",108,11.1,4.8,17.6
"	2020-03-10",108,6.4,3.2,10.8
"	2020-03-11",108,3.8,0,8.3
"	2020-03-12",108,6.8,0.2,13.3
"	2020-03-13",108,4.9,-0.1,8.7
"	2020-03-14",108,3.6,-2.7,8.6
"	2020-03-15",108,4,0.2,8.5
"	2020-03-16",108,3.6,-2.1,9.1
"	2020-03-17",108,6.6,3.1,12.3
"	2020-03-18",108,10,2.7,17
"	2020-03-19",108,9.1,5.8,12.1
"	2020-03-20",108,8.8,3.1,14
"	2020-03-21",108,12.8,7.9,19.5
"	2020-03-22",108,11,6.1,16.5
"	2020-03-23",108,10.6,5.4,17
"	2020-03-24",108,11.4,5.3,17.9
"	2020-03-25",108,12.5,6.1,19.2
"	2020-03-26",108,14.8,8.1,20.6
"	2020-03-27",108,11.9,6.7,15.8
"	2020-03-28",108,7.7,4.5,12.8
"	2020-03-29",108,8.7,1.3,16.1
"	2020-03-30",108,10.2,4.3,16.9
"	2020-03-31",108,11.9,4.7,18.6
"	2020-04-01",108,11.3,6,17.4
"	2020-04-02",108,9.3,3.4,15.5
"	2020-04-03",108,10,5.3,16.3
"	2020-04-04",108,8.9,5,13.3
"	2020-04-05",108,7.2,1.9,13.7
"	2020-04-06",108,9.3,2.9,16.1
"	2020-04-07",108,10.6,6,16.8
"	2020-04-08",108,9.4,5.2,14.2
"	2020-04-09",108,8.9,4.3,14.7
"	2020-04-10",108,10.7,5.8,16.8
"	2020-04-11",108,9.9,6.2,16
"	2020-04-12",108,9.9,4.4,15.6
"	2020-04-13",108,12.4,4.3,20.4
"	2020-04-14",108,13,7.6,19.6
"	2020-04-15",108,13.2,7.2,20.2
"	2020-04-16",108,16,8.9,23.8
"	2020-04-17",108,12.5,10.4,15.4
"	2020-04-18",108,13.5,8.5,19.6
"	2020-04-19",108,12.3,9.5,15.5
"	2020-04-20",108,10,7.6,13.1
"	2020-04-21",108,7.4,4.8,10.4
"	2020-04-22",108,6,4.1,8.3
"	2020-04-23",108,7.9,2.9,12.8
"	2020-04-24",108,9.9,4.1,14.3
"	2020-04-25",108,13.1,9.9,17.1
"	2020-04-26",108,12.3,6.8,19
"	2020-04-27",108,12.9,8.7,18.3
"	2020-04-28",108,13.9,7.8,19.9
"	2020-04-29",108,14.9,9.3,21
"	2020-04-30",108,17.1,9.3,23.4
"	2020-05-01",108,20.2,16.4,26.2
"	2020-05-02",108,20.3,18,23.9
"	2020-05-03",108,21.8,17,27.4
"	2020-05-04",108,20.2,14.8,25.3
"	2020-05-05",108,16,13.1,19.3
"	2020-05-06",108,19.4,11.1,27.6
"	2020-05-07",108,20.7,14.9,26.5
"	2020-05-08",108,19.9,14.3,27.3
"	2020-05-09",108,14.2,12.7,16.8
"	2020-05-10",108,14.4,12.8,16.6
"	2020-05-11",108,16.5,12.4,22
"	2020-05-12",108,14.3,10.5,18.9
"	2020-05-13",108,16.1,10.2,21.8
"	2020-05-14",108,19.3,12.4,25.4
"	2020-05-15",108,16.1,14.1,20.2
"	2020-05-16",108,16.7,15,20.3
"	2020-05-17",108,19.1,14.6,24.9
"	2020-05-18",108,19.1,13.2,26.8
"	2020-05-19",108,13,10.1,17.1
"	2020-05-20",108,14.4,9.2,20.1
"	2020-05-21",108,17.4,10.9,22.9
"	2020-05-22",108,18.5,14.8,22.7
"	2020-05-23",108,20.1,16.6,25
"	2020-05-24",108,17.1,14.3,20.2
"	2020-05-25",108,16.6,13.7,21.3
"	2020-05-26",108,16.2,12.7,22.9
"	2020-05-27",108,17.4,11.8,23.9
"	2020-05-28",108,18.7,14.2,23.4
"	2020-05-29",108,20.7,14.6,27.6
"	2020-05-30",108,22.6,16.5,30
"	2020-05-31",108,21.2,17.6,28
"	2020-06-01",108,19.7,16.6,24.5
"	2020-06-02",108,17.9,14.8,21.8
"	2020-06-03",108,22,17.6,28.4
"	2020-06-04",108,21.9,19.7,26.5
"	2020-06-05",108,23,18.4,28.7
"	2020-06-06",108,24.6,19.2,30.9
"	2020-06-07",108,22.7,19.2,29.2
"	2020-06-08",108,25,19.8,32
"	2020-06-09",108,26.7,20.3,32.8
"	2020-06-10",108,25.8,22.5,32.1
"	2020-06-11",108,26.1,21.7,31.6
"	2020-06-12",108,24.7,21.6,27.6
"	2020-06-13",108,26.9,20.6,33.5
"	2020-06-14",108,24,20.1,28.8
"	2020-06-15",108,23,18.2,28.6
"	2020-06-16",108,24.4,20,30.7
"	2020-06-17",108,24.3,20.2,30.3
"	2020-06-18",108,23.4,20.3,27.3
"	2020-06-19",108,24.7,21.1,30
"	2020-06-20",108,24.9,20.7,29.7
"	2020-06-21",108,26.1,19.5,32.7
"	2020-06-22",108,28.6,21.7,35.4
"	2020-06-23",108,27.3,23.2,31
"	2020-06-24",108,22.3,19.9,26.3
"	2020-06-25",108,21.6,20.1,23.4
"	2020-06-26",108,21.8,19.2,25.7
"	2020-06-27",108,24.1,20.4,29.6
"	2020-06-28",108,25.2,21.5,30.1
"	2020-06-29",108,23.8,20.6,26.5
"	2020-06-30",108,20.1,18.4,23.1
"	2020-07-01",108,21.1,18.1,24.3
"	2020-07-02",108,24.2,20.4,29.8
"	2020-07-03",108,25.5,21.6,30.6
"	2020-07-04",108,24.2,20.4,29.5
"	2020-07-05",108,23.8,19.9,27.6
"	2020-07-06",108,25.6,21.8,30.9
"	2020-07-07",108,24.1,22.1,28.1
"	2020-07-08",108,25.5,21.3,30.4
"	2020-07-09",108,27.5,21.8,32.9
"	2020-07-10",108,24.5,22.7,27.7
"	2020-07-11",108,25.8,22.2,30.2
"	2020-07-12",108,23.5,21.7,26
"	2020-07-13",108,18.7,17.7,21.7
"	2020-07-14",108,20.3,17.2,24.3
"	2020-07-15",108,23.4,18.9,28.7
"	2020-07-16",108,25,20.4,29.7
"	2020-07-17",108,26,21.5,31.6
"	2020-07-18",108,26.1,22.8,31
"	2020-07-19",108,24,20.6,26.6
"	2020-07-20",108,23.8,22.4,26.6
"	2020-07-21",108,25,21.4,30.5
"	2020-07-22",108,23.7,22.6,25.7
"	2020-07-23",108,21.1,18.5,22.6
"	2020-07-24",108,22.5,18.7,26.8
"	2020-07-25",108,24.3,22.3,29
"	2020-07-26",108,25.4,21.6,29.6
"	2020-07-27",108,24.3,22.9,25.5
"	2020-07-28",108,24.4,22.7,26.4
"	2020-07-29",108,23.7,22.6,24.9
"	2020-07-30",108,25.3,23.4,28.4
"	2020-07-31",108,26.2,22.8,29.6
"	2020-08-01",108,25.3,24.3,26.9
"	2020-08-02",108,24.9,23.5,26.4
"	2020-08-03",108,25,23.9,26.3
"	2020-08-04",108,27,25,29.4
"	2020-08-05",108,26.5,25.5,29.1
"	2020-08-06",108,24.1,22.9,26
"	2020-08-07",108,24.3,22.6,26.1
"	2020-08-08",108,24.2,22.7,26.1
"	2020-08-09",108,24.9,23.7,25.8
"	2020-08-10",108,26.5,24.7,29.5
"	2020-08-11",108,24.6,22.4,27.3
"	2020-08-12",108,27.2,23.5,31.3
"	2020-08-13",108,28,26.3,30.3
"	2020-08-14",108,27.1,26.5,28
"	2020-08-15",108,26.1,25,27
"	2020-08-16",108,27.4,25.3,30.8
"	2020-08-17",108,28.2,26.1,32.2
"	2020-08-18",108,27.5,24,31.9
"	2020-08-19",108,27.1,23.6,31.4
"	2020-08-20",108,27.7,25,31.7
"	2020-08-21",108,26.6,25.2,29.2
"	2020-08-22",108,24.3,21.7,27.6
"	2020-08-23",108,25.3,21.5,29.9
"	2020-08-24",108,27.8,23.7,32
"	2020-08-25",108,29.9,26,34.5
"	2020-08-26",108,30.2,27,34.5
"	2020-08-27",108,27.1,25.6,28.6
"	2020-08-28",108,27.3,26,29.7
"	2020-08-29",108,26.8,25.5,29
"	2020-08-30",108,26.8,24.4,30.6
"	2020-08-31",108,26.4,23.8,30
"	2020-09-01",108,26.6,23.8,29.5
"	2020-09-02",108,24.3,22.6,26.4
"	2020-09-03",108,22.7,20,25.6
"	2020-09-04",108,23.3,19.9,27.5
"	2020-09-05",108,23.3,19.2,27.3
"	2020-09-06",108,21.7,19.5,24.4
"	2020-09-07",108,19.2,17.5,20.6
"	2020-09-08",108,23.4,20.6,26.5
"	2020-09-09",108,21.1,19,25.3
"	2020-09-10",108,22.8,18.8,27
"	2020-09-11",108,22.4,19.2,27.1
"	2020-09-12",108,20.2,18.1,23.2
"	2020-09-13",108,21.5,16.7,26.6
"	2020-09-14",108,21.3,17.6,24.9
"	2020-09-15",108,23,18.9,27.7
"	2020-09-16",108,22.5,21.3,24.9
"	2020-09-17",108,21.3,20.1,23.6
"	2020-09-18",108,21.5,18.1,25.8
"	2020-09-19",108,21.2,17.6,26.2
"	2020-09-20",108,19.7,15.6,24.9
"	2020-09-21",108,19.1,13.6,25.3
"	2020-09-22",108,20.2,15.5,25.6
